negative cs,positive cs,Difficolta,ground_truth,id,HD1,FHD,Study,id_xray,conf,ultconf,changes,AI,max_confidence,machineconfidence,ICI_local_0,ICI_local_1,ICI_local_prediction
0.0034,0.9966,1,1,1,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,2,1,1,HAM,5,4,4,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,3,1,1,HAM,5,4,3,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,4,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,5,1,1,HAM,5,4,4,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,6,0,1,HAM,5,3,2,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,7,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,8,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,9,0,1,HAM,5,3,3,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,10,0,1,HAM,5,4,3,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,11,0,1,HAM,5,3,3,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,12,1,1,HAM,5,4,4,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,13,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,14,1,1,HAM,5,3,3,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,15,0,1,HAM,5,4,4,1,1,0.9966,0.992788462,0.913,0.838,0.838
0.0034,0.9966,1,1,16,1,1,HAM,5,4,4,0,1,0.9966,0.992788462,0.913,0.838,0.838
0.3032,0.6968,3,1,1,0,1,HAM,17,4,4,1,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,2,0,0,HAM,17,3,4,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,3,0,0,HAM,17,3,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,4,0,1,HAM,17,3,3,1,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,5,1,1,HAM,17,3,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,6,1,0,HAM,17,3,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,7,1,1,HAM,17,4,4,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,8,0,1,HAM,17,3,3,1,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,9,1,0,HAM,17,3,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,10,0,1,HAM,17,4,3,1,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,11,0,0,HAM,17,4,4,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,12,0,1,HAM,17,4,3,1,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,13,1,0,HAM,17,3,4,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,14,1,1,HAM,17,3,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,15,1,1,HAM,17,4,4,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.3032,0.6968,3,1,16,1,1,HAM,17,2,3,0,1,0.6968,0.337631119,0.677,0.843,0.843
0.9943,0.0057,4,1,1,0,1,LAM,6,3,3,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,2,0,0,LAM,6,2,2,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,3,1,1,LAM,6,2,2,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,4,1,1,LAM,6,4,4,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,5,0,1,LAM,6,2,2,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,6,0,1,LAM,6,3,1,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,7,0,1,LAM,6,4,4,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,8,0,1,LAM,6,2,3,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,9,1,1,LAM,6,3,3,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,10,1,1,LAM,6,2,2,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,11,1,1,LAM,6,3,3,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,12,1,1,LAM,6,3,3,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,13,1,1,LAM,6,2,2,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,14,1,1,LAM,6,2,2,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,15,0,1,LAM,6,4,4,1,0,0.9943,0.987762238,0.82,0.749,0.82
0.9943,0.0057,4,1,16,0,0,LAM,6,2,3,0,0,0.9943,0.987762238,0.82,0.749,0.82
0.3786,0.6214,4,1,1,0,1,HAM,1,4,4,1,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,2,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,3,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,4,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,5,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,6,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,7,1,1,HAM,1,4,4,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,8,1,0,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,9,1,0,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,10,1,1,HAM,1,4,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,11,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,12,1,1,HAM,1,4,4,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,13,1,1,HAM,1,3,3,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,14,0,0,HAM,1,2,2,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,15,0,1,HAM,1,4,4,1,1,0.6214,0.172858392,0.345,0.585,0.585
0.3786,0.6214,4,1,16,1,1,HAM,1,1,1,0,1,0.6214,0.172858392,0.345,0.585,0.585
0.8975,0.1025,2,1,1,1,1,HAM,7,3,4,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,2,1,1,HAM,7,1,1,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,3,1,1,HAM,7,2,2,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,4,1,1,HAM,7,1,2,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,5,1,1,HAM,7,2,2,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,6,0,1,HAM,7,1,2,1,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,7,0,1,HAM,7,4,3,1,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,8,1,1,HAM,7,3,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,9,1,1,HAM,7,3,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,10,1,1,HAM,7,3,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,11,1,1,HAM,7,2,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,12,1,1,HAM,7,3,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,13,0,1,HAM,7,2,4,1,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,14,1,1,HAM,7,1,1,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,15,1,1,HAM,7,3,3,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.8975,0.1025,2,1,16,0,0,HAM,7,1,2,0,0,0.8975,0.776223776,0.881,0.749,0.881
0.0001,0.9999,1,1,1,1,0,LAM,8,3,2,0,1,0.9999,1,0.913,0.838,0.838
0.0001,0.9999,1,1,2,1,1,LAM,8,4,4,0,1,0.9999,1,0.913,0.838,0.838
0.0001,0.9999,1,1,3,1,1,LAM,8,3,3,0,1,0.9999,1,0.913,0.838,0.838
0.0001,0.9999,1,1,4,1,1,LAM,8,4,3,0,1,0.9999,1,0.913,0.838,0.838
0.0001,0.9999,1,1,5,1,1,LAM,8,3,3,0,1,0.9999,1,0.913,0.838,0.838
0.0001,0.9999,1,1,6,1,1,LAM,8,2,2,0,1,0.9999,1,0.913,0.838,0.838
